Date,Platform,Product_Category,Comment_Text,Sentiment_Ground_Truth
2026-02-25,Facebook,Comforter Set,Finally getting good sleep thanks to Swan's Comforter Set.,Positive
2026-02-25,Website Review,Spring Mattress,My Spring Mattress arrived damaged and return process is a nightmare.,Negative
2026-02-25,Instagram,Sofa Cushion,"Not happy with the foam density of the Sofa Cushion, feels cheap.",Negative
2026-02-25,Facebook,Comforter Set,Finally getting good sleep thanks to Swan's Comforter Set.,Positive
2026-02-25,Instagram,Spring Mattress,Delivery of my Spring Mattress was delayed by 2 weeks. Unacceptable.,Negative
2026-02-25,Facebook,Comforter Set,Great service and the Comforter Set feels premium.,Positive
2026-02-25,Website Review,Sofa Cushion,Just received my Sofa Cushion and it looks exactly like the pictures.,Positive
2026-02-25,Facebook,Orthopedic Mattress,My Orthopedic Mattress arrived damaged and return process is a nightmare.,Negative
2026-02-25,Instagram,Spring Mattress,Finally getting good sleep thanks to Swan's Spring Mattress.,Positive
2026-02-25,Instagram,Orthopedic Mattress,"Comparing this Orthopedic Mattress with the other model, which is better?",Neutral
2026-02-25,Facebook,Sofa Cushion,I was skeptical but the Sofa Cushion is very comfortable.,Positive
2026-02-25,Facebook,Sofa Cushion,Does the Sofa Cushion come with a cover?,Neutral
2026-02-24,Instagram,Orthopedic Mattress,My Orthopedic Mattress arrived damaged and return process is a nightmare.,Negative
2026-02-24,Facebook,Supreme Foam,"Regret buying the Supreme Foam, the stitching is coming off.",Negative
2026-02-24,Facebook,Spring Mattress,Customer service didn't reply when I asked about my Spring Mattress warranty.,Negative
2026-02-24,Instagram,Sofa Cushion,My parents love the Sofa Cushion I bought them.,Positive
2026-02-24,Instagram,Comforter Set,Great service and the Comforter Set feels premium.,Positive
2026-02-24,Website Review,Orthopedic Mattress,Finally getting good sleep thanks to Swan's Orthopedic Mattress.,Positive
2026-02-24,Facebook,Sofa Cushion,Customer service didn't reply when I asked about my Sofa Cushion warranty.,Negative
2026-02-24,Facebook,Supreme Foam,Great service and the Supreme Foam feels premium.,Positive
2026-02-24,Instagram,Comforter Set,The Comforter Set smells of chemicals even after a week.,Negative
2026-02-24,Facebook,Comforter Set,Five stars for the Comforter Set!,Positive
2026-02-24,Website Review,Supreme Foam,My Supreme Foam arrived damaged and return process is a nightmare.,Negative
2026-02-24,Facebook,Sofa Cushion,The Sofa Cushion smells of chemicals even after a week.,Negative
2026-02-23,Website Review,Comforter Set,My parents love the Comforter Set I bought them.,Positive
2026-02-23,Website Review,Orthopedic Mattress,"Highly recommend the Orthopedic Mattress, worth every taka.",Positive
2026-02-23,Instagram,Sofa Cushion,Just received my Sofa Cushion and it looks exactly like the pictures.,Positive
2026-02-23,Website Review,Spring Mattress,Soft yet firm. The Spring Mattress is perfect.,Positive
2026-02-23,Website Review,Sofa Cushion,"Highly recommend the Sofa Cushion, worth every taka.",Positive
2026-02-23,Website Review,Supreme Foam,"Regret buying the Supreme Foam, the stitching is coming off.",Negative
2026-02-23,Facebook,Spring Mattress,I was skeptical but the Spring Mattress is very comfortable.,Positive
2026-02-23,Website Review,Sofa Cushion,I was skeptical but the Sofa Cushion is very comfortable.,Positive
2026-02-23,Website Review,Orthopedic Mattress,"Don't buy the Orthopedic Mattress, it captures too much heat.",Negative
2026-02-23,Facebook,Memory Foam Pillow,I am facing specific foam density issues with the Memory Foam Pillow. It sinks too much.,Negative
2026-02-23,Website Review,Comforter Set,Delivery was super fast and the Comforter Set quality is top notch.,Positive
2026-02-23,Instagram,Comforter Set,Just received my Comforter Set and it looks exactly like the pictures.,Positive
2026-02-23,Instagram,Sofa Cushion,My parents love the Sofa Cushion I bought them.,Positive
2026-02-22,Website Review,Comforter Set,Five stars for the Comforter Set!,Positive
